origin_id,origin_class,origin_label,type_id,type_class,type_label,value_id,value_class,value_label
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,7842d8fa-63d0-4161-8181-9a6a40ecf6c4,C,inquisitor,237ec2db-d5dc-4e43-be87-5be142400cb7,P,Bernardus de Cauton
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,7842d8fa-63d0-4161-8181-9a6a40ecf6c4,C,inquisitor,077ab6e4-2fa1-443a-9c87-166865037f1e,P,Jo[hannes] de Sancto Petro
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,0d20880a-5a5a-419d-880f-0ef767c2167e,C,notary,710f2daf-5bf5-49aa-b2cf-221a5d61d2bb,P,Petrus Ariberti
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,46dd9896-0836-4831-853d-7e0f1e3acffc,C,witness,17e1a53b-c2d9-48b7-b0ba-c08fb2cfa274,P,Raymundus d'Aura
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,46dd9896-0836-4831-853d-7e0f1e3acffc,C,witness,710f2daf-5bf5-49aa-b2cf-221a5d61d2bb,P,Petrus Ariberti
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,ccc4c0f8-ad95-40a5-ac78-3a6eccb939c6,C,place in a series,e30c0159-042d-4d70-9b07-9f808b39790b,V,1
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,4cd961b5-c512-4dcc-a928-fbaceb7491c1,C,TRP yyyy-mm-dd: during,5c59f59a-aac9-4166-8dca-343aa1757219,V,1246-10-30
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,53d49b80-f6b7-498f-8050-79db1232e37b,C,SRP in,f0d3375a-cba6-455f-9bd1-07c71920e371,L,Apamie
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,c774584e-4204-4737-a4a7-70e1396e7679,C,incriminator,91d45a02-d8f6-4db3-9903-565558d39ca2,P,Bernardus de Podio de Garano
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,91d45a02-d8f6-4db3-9903-565558d39ca2,P,Bernardus de Podio de Garano
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,78f82d5b-5dc3-448e-8ca4-4d656e28b236,P,B[ernardus] de Causso
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,1711b16c-85c2-41de-b398-5bd36d880315,P,Raymundus Salas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,77bec6d7-c3c2-4924-8ec1-5b21aeafc9f1,P,Raymundus Agulherii
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,6f361128-ddae-4490-97ea-5ec54a57cde9,P,R[aymundus] de Caissoneras
