status,id_action_or_relation,subject,action_or_relation,action_or_relation_english,action_or_relation_middle_english,action_or_relation_synonyms,actant1_valency,actant1,actant2_valency,actant2,action_or_relation_type,subtype1,subtype2,subtype3,subtype4,parent_id,parent_label,parent_label_english,components_id,components_label,components_label_english,quasisynonym_id,quasisynonym_label,quasisynonym__label_english,related_entity_id,related_entity_label,related_entity_label_english,tags,dissidence_or_compliance_level,tie_value_subject_actant1,tie_value_subject_actant2,reciprocal_relation_actant1_subject_id,reciprocal_relation_actant1_subject,reciprocal_relation_actant1_subject_english,reciprocal_relation_actant2_subject_id,reciprocal_relation_actant2_subject,reciprocal_relation_actant2_subject_english,rule_time,rule_duration,rule_frequency,rule_location_where,rule_location_from,rule_location_to,rule_dissidence_level,rule_compliance_level,text_example,note,recommendation
approved,A0080,[] Person | [] Group,"""respondit""",replied (to sb - st),,,3,[] Person | [] Group,"4inf | ""quod""",[] Statement,interaction,conversation,answer,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,???,got reply from,,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0164,[] Person | [] Group,"""reus""",subject of legal action (for Text part),,,NULL,[] Text part,NULL,NULL,relation,trial,social role,subject of legal action,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,NA,,???,is document concerning,NULL,NULL,NULL,NA,NA,NA,NA,NA,NA,,,,"The document and ""constitutus in iudicio"" has a date and place but the role of a person towards the document does not have any date and place.",
approved,A0218,[] Person | [] Group,"""revelavit""",revealed (to sb - st),,,"3 | ""coram"" + 6",[] Person | [] Group,"4inf | ""quod""",[] Statement | [] Concept,interaction,flow,information flow,saying,revealing,A0037,"""dixit""",told (sb - st),,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,,A0022,"""audivit""",heard (from sb - st),???,#N/A,#N/A,1,1,1,1,NA,NA,,,,,
approved,A0215,[] Person | [] Group,"""revocavit""",retract (in front of sb - [st]),,,"""coram"" + 6",[] Person | [] Group,NULL | 4 ,NULL | [] Concept | [] Statement,interaction,trial,revocation,making revocation,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0018,"""abiuravit""",abjured (in front of sb - [st]),,#VALUE!,#VALUE!,,,object of the exercise of power,,,#N/A,#N/A,,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0261,[] Person | [] Group,"""salutatus/a fuit""",was greeted (by sb),,,"""per"" + 4",[] Person | [] Group,NULL,NULL,interaction,meeting,greeting,being greeted by sb,,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,neutral,NA,A0260,"""salutavit""",greeted (sb),NULL,#N/A,#N/A,O,O,O,O,NA,NA,O,NA,,,
approved,A0260,[] Person | [] Group,"""salutavit""",greeted (sb),,,4,[] Person | [] Group,NULL,NULL,interaction,meeting,greeting,greeting sb,,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,neutral,NA,A0261,"""salutatus/a fuit""",was greeted (by sb),NULL,#N/A,#N/A,O,O,O,O,NA,NA,O,O,"""Bernardus Claris associavit hereticos et salutavit eos""","""Salutavit eos modo communi / modo hereticali"": these will be Concepts used as A/R modifiers.",
approved,A0082,[] Person | [] Group,"""scivit""",knew (sb/st),,"""sciebat""","4inf | ""quod""",[] Statement | [] Concept | [] Person | [] Group | [] Object | [] Event,NULL,NULL,cognitive,knowledge,knowing,knowing sb/st,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0162,"""novit""",knew (sb/st),,#VALUE!,#VALUE!,,,neutral,NA,A0244,"""notus/a erat""",was known (to sb),NULL,NULL,NULL,1,1,NA,NA,NA,NA,,,,,
approved,A0246,[] Person | [] Group,"""scivit""",knew (sb/st - as some),,,"4inf | ""quod"" | 4",[] Statement | [] Concept | [] Person | [] Group | [] Object | [] Event,qualem | qualis,[] Value | [] Concept,cognitive,knowledge,knowing,knowing sb/st,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0243,"""novit""",knew (sb/st - as some),,#VALUE!,#VALUE!,,,neutral,neutral,A0245,"""notus/a erat""",was known (to sb - as some),???,#N/A,#N/A,1,1,NA,NA,NA,NA,,,,,
approved,A0081,[] Person | [] Group,"""scivit""",learned (st),,,"4inf | ""quod""",[] Statement | [] Concept,NULL,NULL,cognitive,knowledge,learning,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,???,became known to,,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0155,[] Person | [] Group,"""scripsit""",wrote (st - [in st]),,,"4 | 4inf | ""quod""",[] Object | [] Statement | [] Concept,"NULL | ""in"" + 6",NULL | [] Object,action,writing,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,NA,,"""scriptum fuit""",was written (by sb),,#N/A,#N/A,1,1,1,1,NA,NA,,,"""huiusmodi hereses sive errores sunt de novo scripti et in dicto libro collocati post tempus quando ipse vendidit eundem librum""",,
